NDIMENSIONS=2
NI=16
NJ=8
NK=1
x,y,z
0.000000,1.000000,0.000000
0.000000,1.142857,0.000000
0.000000,1.285714,0.000000
0.000000,1.428571,0.000000
0.000000,1.571429,0.000000
0.000000,1.714286,0.000000
0.000000,1.857143,0.000000
0.000000,2.000000,0.000000
0.200000,1.000000,0.000000
0.200000,1.142857,0.000000
0.200000,1.285714,0.000000
0.200000,1.428571,0.000000
0.200000,1.571429,0.000000
0.200000,1.714286,0.000000
0.200000,1.857143,0.000000
0.200000,2.000000,0.000000
0.400000,1.000000,0.000000
0.400000,1.142857,0.000000
0.400000,1.285714,0.000000
0.400000,1.428571,0.000000
0.400000,1.571429,0.000000
0.400000,1.714286,0.000000
0.400000,1.857143,0.000000
0.400000,2.000000,0.000000
0.600000,1.000000,0.000000
0.600000,1.142857,0.000000
0.600000,1.285714,0.000000
0.600000,1.428571,0.000000
0.600000,1.571429,0.000000
0.600000,1.714286,0.000000
0.600000,1.857143,0.000000
0.600000,2.000000,0.000000
0.800000,1.000000,0.000000
0.800000,1.142857,0.000000
0.800000,1.285714,0.000000
0.800000,1.428571,0.000000
0.800000,1.571429,0.000000
0.800000,1.714286,0.000000
0.800000,1.857143,0.000000
0.800000,2.000000,0.000000
1.000000,1.000000,0.000000
1.000000,1.142857,0.000000
1.000000,1.285714,0.000000
1.000000,1.428571,0.000000
1.000000,1.571429,0.000000
1.000000,1.714286,0.000000
1.000000,1.857143,0.000000
1.000000,2.000000,0.000000
1.200000,1.000000,0.000000
1.200000,1.142857,0.000000
1.200000,1.285714,0.000000
1.200000,1.428571,0.000000
1.200000,1.571429,0.000000
1.200000,1.714286,0.000000
1.200000,1.857143,0.000000
1.200000,2.000000,0.000000
1.400000,1.000000,0.000000
1.400000,1.142857,0.000000
1.400000,1.285714,0.000000
1.400000,1.428571,0.000000
1.400000,1.571429,0.000000
1.400000,1.714286,0.000000
1.400000,1.857143,0.000000
1.400000,2.000000,0.000000
1.600000,1.000000,0.000000
1.600000,1.142857,0.000000
1.600000,1.285714,0.000000
1.600000,1.428571,0.000000
1.600000,1.571429,0.000000
1.600000,1.714286,0.000000
1.600000,1.857143,0.000000
1.600000,2.000000,0.000000
1.800000,1.000000,0.000000
1.800000,1.142857,0.000000
1.800000,1.285714,0.000000
1.800000,1.428571,0.000000
1.800000,1.571429,0.000000
1.800000,1.714286,0.000000
1.800000,1.857143,0.000000
1.800000,2.000000,0.000000
2.000000,1.000000,0.000000
2.000000,1.142857,0.000000
2.000000,1.285714,0.000000
2.000000,1.428571,0.000000
2.000000,1.571429,0.000000
2.000000,1.714286,0.000000
2.000000,1.857143,0.000000
2.000000,2.000000,0.000000
2.200000,1.000000,0.000000
2.200000,1.142857,0.000000
2.200000,1.285714,0.000000
2.200000,1.428571,0.000000
2.200000,1.571429,0.000000
2.200000,1.714286,0.000000
2.200000,1.857143,0.000000
2.200000,2.000000,0.000000
2.400000,1.000000,0.000000
2.400000,1.142857,0.000000
2.400000,1.285714,0.000000
2.400000,1.428571,0.000000
2.400000,1.571429,0.000000
2.400000,1.714286,0.000000
2.400000,1.857143,0.000000
2.400000,2.000000,0.000000
2.600000,1.000000,0.000000
2.600000,1.142857,0.000000
2.600000,1.285714,0.000000
2.600000,1.428571,0.000000
2.600000,1.571429,0.000000
2.600000,1.714286,0.000000
2.600000,1.857143,0.000000
2.600000,2.000000,0.000000
2.800000,1.000000,0.000000
2.800000,1.142857,0.000000
2.800000,1.285714,0.000000
2.800000,1.428571,0.000000
2.800000,1.571429,0.000000
2.800000,1.714286,0.000000
2.800000,1.857143,0.000000
2.800000,2.000000,0.000000
3.000000,1.000000,0.000000
3.000000,1.142857,0.000000
3.000000,1.285714,0.000000
3.000000,1.428571,0.000000
3.000000,1.571429,0.000000
3.000000,1.714286,0.000000
3.000000,1.857143,0.000000
3.000000,2.000000,0.000000
