NDIMENSIONS=2
NI=22
NJ=12
NK=1
x,y,z
0.000000,0.000000,0.000000
0.000000,0.090909,0.000000
0.000000,0.181818,0.000000
0.000000,0.272727,0.000000
0.000000,0.363636,0.000000
0.000000,0.454545,0.000000
0.000000,0.545455,0.000000
0.000000,0.636364,0.000000
0.000000,0.727273,0.000000
0.000000,0.818182,0.000000
0.000000,0.909091,0.000000
0.000000,1.000000,0.000000
0.142857,0.000000,0.000000
0.142857,0.090909,0.000000
0.142857,0.181818,0.000000
0.142857,0.272727,0.000000
0.142857,0.363636,0.000000
0.142857,0.454545,0.000000
0.142857,0.545455,0.000000
0.142857,0.636364,0.000000
0.142857,0.727273,0.000000
0.142857,0.818182,0.000000
0.142857,0.909091,0.000000
0.142857,1.000000,0.000000
0.285714,0.000000,0.000000
0.285714,0.090909,0.000000
0.285714,0.181818,0.000000
0.285714,0.272727,0.000000
0.285714,0.363636,0.000000
0.285714,0.454545,0.000000
0.285714,0.545455,0.000000
0.285714,0.636364,0.000000
0.285714,0.727273,0.000000
0.285714,0.818182,0.000000
0.285714,0.909091,0.000000
0.285714,1.000000,0.000000
0.428571,0.000000,0.000000
0.428571,0.090909,0.000000
0.428571,0.181818,0.000000
0.428571,0.272727,0.000000
0.428571,0.363636,0.000000
0.428571,0.454545,0.000000
0.428571,0.545455,0.000000
0.428571,0.636364,0.000000
0.428571,0.727273,0.000000
0.428571,0.818182,0.000000
0.428571,0.909091,0.000000
0.428571,1.000000,0.000000
0.571429,0.000000,0.000000
0.571429,0.090909,0.000000
0.571429,0.181818,0.000000
0.571429,0.272727,0.000000
0.571429,0.363636,0.000000
0.571429,0.454545,0.000000
0.571429,0.545455,0.000000
0.571429,0.636364,0.000000
0.571429,0.727273,0.000000
0.571429,0.818182,0.000000
0.571429,0.909091,0.000000
0.571429,1.000000,0.000000
0.714286,0.000000,0.000000
0.714286,0.090909,0.000000
0.714286,0.181818,0.000000
0.714286,0.272727,0.000000
0.714286,0.363636,0.000000
0.714286,0.454545,0.000000
0.714286,0.545455,0.000000
0.714286,0.636364,0.000000
0.714286,0.727273,0.000000
0.714286,0.818182,0.000000
0.714286,0.909091,0.000000
0.714286,1.000000,0.000000
0.857143,0.000000,0.000000
0.857143,0.090909,0.000000
0.857143,0.181818,0.000000
0.857143,0.272727,0.000000
0.857143,0.363636,0.000000
0.857143,0.454545,0.000000
0.857143,0.545455,0.000000
0.857143,0.636364,0.000000
0.857143,0.727273,0.000000
0.857143,0.818182,0.000000
0.857143,0.909091,0.000000
0.857143,1.000000,0.000000
1.000000,0.000000,0.000000
1.000000,0.090909,0.000000
1.000000,0.181818,0.000000
1.000000,0.272727,0.000000
1.000000,0.363636,0.000000
1.000000,0.454545,0.000000
1.000000,0.545455,0.000000
1.000000,0.636364,0.000000
1.000000,0.727273,0.000000
1.000000,0.818182,0.000000
1.000000,0.909091,0.000000
1.000000,1.000000,0.000000
1.138248,0.048653,0.000000
1.138667,0.135139,0.000000
1.139086,0.221625,0.000000
1.139505,0.308112,0.000000
1.139924,0.394598,0.000000
1.140343,0.481084,0.000000
1.140762,0.567570,0.000000
1.141181,0.654056,0.000000
1.141600,0.740542,0.000000
1.142019,0.827028,0.000000
1.142438,0.913514,0.000000
1.142857,1.000000,0.000000
1.281093,0.081437,0.000000
1.281513,0.164942,0.000000
1.281933,0.248448,0.000000
1.282353,0.331954,0.000000
1.282773,0.415460,0.000000
1.283194,0.498965,0.000000
1.283614,0.582471,0.000000
1.284034,0.665977,0.000000
1.284454,0.749483,0.000000
1.284874,0.832988,0.000000
1.285294,0.916494,0.000000
1.285714,1.000000,0.000000
1.426721,0.097933,0.000000
1.426889,0.179939,0.000000
1.427057,0.261945,0.000000
1.427225,0.343951,0.000000
1.427394,0.425957,0.000000
1.427562,0.507963,0.000000
1.427730,0.589970,0.000000
1.427898,0.671976,0.000000
1.428067,0.753982,0.000000
1.428235,0.835988,0.000000
1.428403,0.917994,0.000000
1.428571,1.000000,0.000000
1.573279,0.097933,0.000000
