NDIMENSIONS=3
NI=13
NJ=12
NK=5
x,y,z
0.000000,0.333333,0.000000
0.000000,0.326928,0.065030
0.000000,0.307960,0.127561
0.000000,0.277157,0.185190
0.000000,0.235702,0.235702
0.000000,0.393939,0.000000
0.000000,0.386370,0.076854
0.000000,0.363953,0.150754
0.000000,0.327549,0.218861
0.000000,0.278557,0.278557
0.000000,0.454545,0.000000
0.000000,0.445811,0.088677
0.000000,0.419945,0.173947
0.000000,0.377941,0.252532
0.000000,0.321412,0.321412
0.000000,0.515152,0.000000
0.000000,0.505253,0.100501
0.000000,0.475938,0.197140
0.000000,0.428333,0.286203
0.000000,0.364267,0.364267
0.000000,0.575758,0.000000
0.000000,0.564695,0.112325
0.000000,0.531931,0.220333
0.000000,0.478725,0.319874
0.000000,0.407122,0.407122
0.000000,0.636364,0.000000
0.000000,0.624136,0.124148
0.000000,0.587923,0.243526
0.000000,0.529117,0.353545
0.000000,0.449977,0.449977
0.000000,0.696970,0.000000
0.000000,0.683578,0.135972
0.000000,0.643916,0.266719
0.000000,0.579509,0.387216
0.000000,0.492832,0.492832
0.000000,0.757576,0.000000
0.000000,0.743019,0.147796
0.000000,0.699909,0.289912
0.000000,0.629901,0.420887
0.000000,0.535687,0.535687
0.000000,0.818182,0.000000
0.000000,0.802461,0.159619
0.000000,0.755901,0.313105
0.000000,0.680293,0.454557
0.000000,0.578542,0.578542
0.000000,0.878788,0.000000
0.000000,0.861902,0.171443
0.000000,0.811894,0.336298
0.000000,0.730685,0.488228
0.000000,0.621397,0.621397
0.000000,0.939394,0.000000
0.000000,0.921344,0.183267
0.000000,0.867887,0.359490
0.000000,0.781078,0.521899
0.000000,0.664252,0.664252
0.000000,1.000000,0.000000
0.000000,0.980785,0.195090
0.000000,0.923880,0.382683
0.000000,0.831470,0.555570
0.000000,0.707107,0.707107
0.360392,0.333333,0.000000
0.360392,0.326928,0.065030
0.360392,0.307960,0.127561
0.360392,0.277157,0.185190
0.360392,0.235702,0.235702
0.360392,0.393939,0.000000
0.360392,0.386370,0.076854
0.360392,0.363953,0.150754
0.360392,0.327549,0.218861
0.360392,0.278557,0.278557
0.360392,0.454545,0.000000
0.360392,0.445811,0.088677
0.360392,0.419945,0.173947
0.360392,0.377941,0.252532
0.360392,0.321412,0.321412
0.360392,0.515152,0.000000
0.360392,0.505253,0.100501
0.360392,0.475938,0.197140
0.360392,0.428333,0.286203
0.360392,0.364267,0.364267
0.360392,0.575758,0.000000
0.360392,0.564695,0.112325
0.360392,0.531931,0.220333
0.360392,0.478725,0.319874
0.360392,0.407122,0.407122
0.360392,0.636364,0.000000
0.360392,0.624136,0.124148
0.360392,0.587923,0.243526
0.360392,0.529117,0.353545
0.360392,0.449977,0.449977
0.360392,0.696970,0.000000
0.360392,0.683578,0.135972
0.360392,0.643916,0.266719
0.360392,0.579509,0.387216
0.360392,0.492832,0.492832
0.360392,0.757576,0.000000
0.360392,0.743019,0.147796
0.360392,0.699909,0.289912
0.360392,0.629901,0.420887
0.360392,0.535687,0.535687
0.360392,0.818182,0.000000
0.360392,0.802461,0.159619
0.360392,0.755901,0.313105
0.360392,0.680293,0.454557
0.360392,0.578542,0.578542
0.360392,0.878788,0.000000
0.360392,0.861902,0.171443
0.360392,0.811894,0.336298
0.360392,0.730685,0.488228
0.360392,0.621397,0.621397
0.360392,0.939394,0.000000
0.360392,0.921344,0.183267
0.360392,0.867887,0.359490
0.360392,0.781078,0.521899
0.360392,0.664252,0.664252
0.360392,1.000000,0.000000
0.360392,0.980785,0.195090
0.360392,0.923880,0.382683
0.360392,0.831470,0.555570
0.360392,0.707107,0.707107
0.634136,0.333333,0.000000
0.634136,0.326928,0.065030
0.634136,0.307960,0.127561
0.634136,0.277157,0.185190
0.634136,0.235702,0.235702
0.634136,0.393939,0.000000
0.634136,0.386370,0.076854
0.634136,0.363953,0.150754
0.634136,0.327549,0.218861
0.634136,0.278557,0.278557
0.634136,0.454545,0.000000
0.634136,0.445811,0.088677
0.634136,0.419945,0.173947
0.634136,0.377941,0.252532
0.634136,0.321412,0.321412
0.634136,0.515152,0.000000
0.634136,0.505253,0.100501
0.634136,0.475938,0.197140
0.634136,0.428333,0.286203
0.634136,0.364267,0.364267
0.634136,0.575758,0.000000
0.634136,0.564695,0.112325
0.634136,0.531931,0.220333
0.634136,0.478725,0.319874
0.634136,0.407122,0.407122
0.634136,0.636364,0.000000
0.634136,0.624136,0.124148
0.634136,0.587923,0.243526
0.634136,0.529117,0.353545
0.634136,0.449977,0.449977
0.634136,0.696970,0.000000
0.634136,0.683578,0.135972
0.634136,0.643916,0.266719
0.634136,0.579509,0.387216
0.634136,0.492832,0.492832
0.634136,0.757576,0.000000
0.634136,0.743019,0.147796
0.634136,0.699909,0.289912
0.634136,0.629901,0.420887
0.634136,0.535687,0.535687
0.634136,0.818182,0.000000
0.634136,0.802461,0.159619
0.634136,0.755901,0.313105
0.634136,0.680293,0.454557
0.634136,0.578542,0.578542
0.634136,0.878788,0.000000
0.634136,0.861902,0.171443
0.634136,0.811894,0.336298
0.634136,0.730685,0.488228
0.634136,0.621397,0.621397
0.634136,0.939394,0.000000
0.634136,0.921344,0.183267
0.634136,0.867887,0.359490
0.634136,0.781078,0.521899
0.634136,0.664252,0.664252
0.634136,1.000000,0.000000
0.634136,0.980785,0.195090
0.634136,0.923880,0.382683
0.634136,0.831470,0.555570
0.634136,0.707107,0.707107
0.842064,0.333333,0.000000
0.842064,0.326928,0.065030
0.842064,0.307960,0.127561
0.842064,0.277157,0.185190
0.842064,0.235702,0.235702
0.842064,0.393939,0.000000
0.842064,0.386370,0.076854
0.842064,0.363953,0.150754
0.842064,0.327549,0.218861
0.842064,0.278557,0.278557
0.842064,0.454545,0.000000
0.842064,0.445811,0.088677
0.842064,0.419945,0.173947
0.842064,0.377941,0.252532
0.842064,0.321412,0.321412
0.842064,0.515152,0.000000
0.842064,0.505253,0.100501
0.842064,0.475938,0.197140
0.842064,0.428333,0.286203
0.842064,0.364267,0.364267
0.842064,0.575758,0.000000
0.842064,0.564695,0.112325
0.842064,0.531931,0.220333
0.842064,0.478725,0.319874
0.842064,0.407122,0.407122
0.842064,0.636364,0.000000
0.842064,0.624136,0.124148
0.842064,0.587923,0.243526
0.842064,0.529117,0.353545
0.842064,0.449977,0.449977
0.842064,0.696970,0.000000
0.842064,0.683578,0.135972
0.842064,0.643916,0.266719
0.842064,0.579509,0.387216
0.842064,0.492832,0.492832
0.842064,0.757576,0.000000
0.842064,0.743019,0.147796
0.842064,0.699909,0.289912
0.842064,0.629901,0.420887
0.842064,0.535687,0.535687
0.842064,0.818182,0.000000
0.842064,0.802461,0.159619
0.842064,0.755901,0.313105
0.842064,0.680293,0.454557
0.842064,0.578542,0.578542
0.842064,0.878788,0.000000
0.842064,0.861902,0.171443
0.842064,0.811894,0.336298
0.842064,0.730685,0.488228
0.842064,0.621397,0.621397
0.842064,0.939394,0.000000
0.842064,0.921344,0.183267
0.842064,0.867887,0.359490
0.842064,0.781078,0.521899
0.842064,0.664252,0.664252
0.842064,1.000000,0.000000
0.842064,0.980785,0.195090
0.842064,0.923880,0.382683
0.842064,0.831470,0.555570
0.842064,0.707107,0.707107
1.000000,0.333333,0.000000
1.000000,0.326928,0.065030
1.000000,0.307960,0.127561
1.000000,0.277157,0.185190
1.000000,0.235702,0.235702
1.000000,0.393939,0.000000
1.000000,0.386370,0.076854
1.000000,0.363953,0.150754
1.000000,0.327549,0.218861
1.000000,0.278557,0.278557
1.000000,0.454545,0.000000
1.000000,0.445811,0.088677
1.000000,0.419945,0.173947
1.000000,0.377941,0.252532
1.000000,0.321412,0.321412
1.000000,0.515152,0.000000
1.000000,0.505253,0.100501
1.000000,0.475938,0.197140
1.000000,0.428333,0.286203
1.000000,0.364267,0.364267
1.000000,0.575758,0.000000
1.000000,0.564695,0.112325
1.000000,0.531931,0.220333
1.000000,0.478725,0.319874
1.000000,0.407122,0.407122
1.000000,0.636364,0.000000
1.000000,0.624136,0.124148
1.000000,0.587923,0.243526
1.000000,0.529117,0.353545
1.000000,0.449977,0.449977
1.000000,0.696970,0.000000
1.000000,0.683578,0.135972
1.000000,0.643916,0.266719
1.000000,0.579509,0.387216
1.000000,0.492832,0.492832
1.000000,0.757576,0.000000
1.000000,0.743019,0.147796
1.000000,0.699909,0.289912
1.000000,0.629901,0.420887
1.000000,0.535687,0.535687
